type	domain	name	calls	total_us	avg_us	max_us
api	driver	muMemSetAccess	224	423034.410	1888.546	7358.379
kernel	concurrent_kernel	musa_asm_hhhhssgemm_nt_tce_128_32x128B128_epilogue_stage3_btmenc	592	93663.133	158.215	843.749
kernel	concurrent_kernel	musa_asm_hhhhssgemm_nt_tce_256_32x128B128_epilogue_stage3_btmenc	1728	83562.674	48.358	78.243
kernel	concurrent_kernel	_ZN4musa3dnn12_GLOBAL__N_110KernelFillI6__halfLb0ELb0ELb0ELNS1_13BroadcastModeE0ENS0_12DeviceTensorIjNS0_13FastDivmodU32EEELi128EEEvPvT4_T_l	219	40879.505	186.664	588.900
api	driver	muMemCreate	3405	22952.195	6.741	303.680
kernel	concurrent_kernel	_fwd_grouped_kernel_stage1	504	10941.061	21.708	29.921
api	driver	muLaunchKernel	2280	10247.404	4.494	219.194
kernel	concurrent_kernel	_Z25LayerNormGlobalKernelVlenI6__halffLi1024ELi1ELi8EEvPT_S2_PKS1_mmT0_	1152	8155.763	7.080	9.800
kernel	concurrent_kernel	_ZN4musa3dnn25LayerNormGlobalKernelVlenI6__halffS2_fLi64ELi1ELi8ELNS0_8NormTypeE1ELb0EEEvPT1_PT2_S7_PKT_PKS4_SC_mmmmT0_SD_	1080	6184.040	5.726	7.280
kernel	concurrent_kernel	_ZN2at6native12_GLOBAL__N_121IndexVectorizedKernelIZNS1_14GPUIndexKernelIN3c104HalfELi1ELb1ELi3ELb1ELNS1_17IndexKernelIOTypeE0EEEvRNS_18TensorIteratorBaseENS4_8ArrayRefIlEESA_EUljjjE_ZNS3_IS5_Li1ELb1ELi3ELb1ELS6_0EEEvS8_SA_SA_EUljjjE0_EEvllliT_T0_	1008	5611.183	5.567	6.360
kernel	concurrent_kernel	triton_poi_fused_add_cat_index_select_mul_split_sub_unsqueeze_view_0	576	4367.109	7.582	12.641
api	driver	muPointerGetAttribute	11892	4166.083	0.350	19.627
kernel	concurrent_kernel	triton_poi_fused_add_cat_index_select_mul_split_sub_unsqueeze_view_1	576	3978.101	6.906	10.920
kernel	concurrent_kernel	_ZN4musa3dnn12_GLOBAL__N_112KernelSwiGluI6__halfNS0_13FastDivmodU32EEEvPT_PKS5_llT0_	576	3306.712	5.741	7.880
api	driver	muDevicePrimaryCtxGetState	32899	2571.152	0.078	6.261
kernel	concurrent_kernel	_fwd_kernel_stage2	504	2387.611	4.737	5.040
api	driver	muModuleGetFunction	13	2276.537	175.118	241.984
api	driver	muModuleLoadData	13	1732.658	133.281	662.150
