index	type	domain	start_us	relative_start_us	duration_us	name
0	api	driver	791440698031.881	0.000	1.893	muGetExportTable
1	api	driver	791440698037.448	5.567	0.360	muInit
2	api	driver	791440698038.264	6.383	0.061	muGetExportTable
3	api	driver	791442077816.635	1379784.754	9.227	muDevicePrimaryCtxGetState
4	api	driver	791442077831.904	1379800.023	0.049	muDevicePrimaryCtxGetState
5	api	driver	791442077840.687	1379808.806	0.044	muDevicePrimaryCtxGetState
6	api	driver	791442078471.356	1380439.475	0.054	muDevicePrimaryCtxGetState
7	api	driver	791442078472.503	1380440.622	0.044	muDevicePrimaryCtxGetState
8	api	driver	791442078473.144	1380441.263	0.036	muDevicePrimaryCtxGetState
9	api	driver	791442078566.147	1380534.266	0.044	muDevicePrimaryCtxGetState
10	api	driver	791442078567.736	1380535.855	0.037	muDevicePrimaryCtxGetState
11	api	driver	791442084277.063	1386245.182	0.156	muDevicePrimaryCtxGetState
12	api	driver	791442084553.435	1386521.554	0.236	muDevicePrimaryCtxGetState
13	api	driver	791442084554.060	1386522.179	0.042	muDevicePrimaryCtxGetState
14	api	driver	791442084554.460	1386522.579	0.046	muDevicePrimaryCtxGetState
15	api	driver	791442084568.202	1386536.321	0.045	muDevicePrimaryCtxGetState
16	api	driver	791442084569.642	1386537.761	0.039	muDevicePrimaryCtxGetState
17	api	driver	791442084577.958	1386546.077	0.042	muDevicePrimaryCtxGetState
18	api	driver	791442085000.871	1386968.990	0.067	muDevicePrimaryCtxGetState
19	api	driver	791442085001.341	1386969.460	0.038	muDevicePrimaryCtxGetState
20	api	driver	791442085001.662	1386969.781	0.040	muDevicePrimaryCtxGetState
21	kernel	concurrent_kernel	791442085147.808	1387115.927	160.805	_ZN2at6native12_GLOBAL__N_143distribution_elementwise_grid_stride_kernelIfLi4EZNS0_9templates4musa20normal_and_transformIN3c104HalfEfPNS_17MUSAGeneratorImplEZZZNS4_13normal_kernelIS9_EEvRKNS_10TensorBaseEddT_ENKUlvE_clEvENKUlvE1_clEvEUlfE_EEvRNS_18TensorIteratorBaseET1_T2_EUlPN13murand_device20philox4x32_10_engineEE0_ZNS1_27distribution_nullary_kernelIS7_f6float4S9_SP_SH_EEvSJ_SL_RKT3_T4_EUlifE_EEvlNS_15PhiloxMusaStateESK_SL_
