section	name	calls	total_us	avg_us	max_us
API latency by muXXX/musaXXX name	musaLaunchKernel_v7000	4674	7633483.000	1633.180	2379837.587
API latency by muXXX/musaXXX name	musaMemcpyAsync_v3020	430	1085954.000	2525.474	64975.295
API latency by muXXX/musaXXX name	muMemSetAccess	224	417727.000	1864.851	6976.242
API latency by muXXX/musaXXX name	musaStreamCreateWithPriority_v5050	96	118159.000	1230.821	2329.670
API latency by muXXX/musaXXX name	musaLaunchKernelExC_v11060	2321	101415.000	43.695	47893.158
API latency by muXXX/musaXXX name	muMemCreate	3405	23059.000	6.772	312.106
API latency by muXXX/musaXXX name	musaDeviceSynchronize_v3020	37	12876.000	347.993	852.742
API latency by muXXX/musaXXX name	muLaunchKernel	2280	9434.000	4.138	39.081
API latency by muXXX/musaXXX name	musaGetDevice_v3020	95682	7524.000	0.079	7.475
API latency by muXXX/musaXXX name	muPointerGetAttribute	11892	4138.000	0.348	9.345
API latency by muXXX/musaXXX name	muModuleGetFunction	13	2246.000	172.799	215.400
API latency by muXXX/musaXXX name	muDevicePrimaryCtxGetState	32899	2072.000	0.063	7.228
API latency by muXXX/musaXXX name	muMemMap	3405	1327.000	0.390	7.149
API latency by muXXX/musaXXX name	muModuleLoadData	13	1179.000	90.655	132.481
API latency by muXXX/musaXXX name	musaStreamSynchronize_v3020	414	700.000	1.692	242.985
API latency by muXXX/musaXXX name	muTensorDescriptorEncode	6963	642.000	0.092	4.038
API latency by muXXX/musaXXX name	musaHostAlloc_v3020	1	579.000	578.749	578.749
API latency by muXXX/musaXXX name	musaGetLastError_v3020	6317	454.000	0.072	3.942
API latency by muXXX/musaXXX name	muCtxGetCurrent	2293	113.000	0.049	2.308
API latency by muXXX/musaXXX name	musaMemGetInfo_v3020	9	97.000	10.818	36.978
API latency by muXXX/musaXXX name	muDeviceGetAttribute	111	29.000	0.262	2.976
API latency by muXXX/musaXXX name	musaGetDeviceProperties_v2_v12000	12	28.000	2.301	16.343
API latency by muXXX/musaXXX name	muMemAddressReserve	2	17.000	8.676	13.994
API latency by muXXX/musaXXX name	musaDeviceCanAccessPeer_v4000	14	7.000	0.535	0.669
API latency by muXXX/musaXXX name	muFuncGetAttribute	26	6.000	0.226	0.836
API latency by muXXX/musaXXX name	musaGetDeviceCount_v3020	4	4.000	0.982	2.897
API latency by muXXX/musaXXX name	muDeviceGet	14	4.000	0.276	0.593
API latency by muXXX/musaXXX name	muGetExportTable	2	2.000	0.911	1.749
API latency by muXXX/musaXXX name	musaDeviceGetStreamPriorityRange_v5050	1	1.000	0.924	0.924
API latency by muXXX/musaXXX name	muInit	1	0.000	0.334	0.334
Kernel/device time by kernel symbol	musa_asm_hhhhssgemm_nt_tce_128_32x128B128_epilogue_stage3_btmenc	592	93686.000	158.254	836.428
Kernel/device time by kernel symbol	musa_asm_hhhhssgemm_nt_tce_256_32x128B128_epilogue_stage3_btmenc	1728	83429.000	48.281	77.922
