stage	name	categories	calls	total_us	avg_us	max_us
prefill	musa_asm_hhhhssgemm_nt_tce_128_32x128B128_epilogue	kernel	144	11415.698	79.276	150.805
prefill	musaLaunchKernel	privateuse1_runtime	373	2078.126	5.571	23.703
prefill	musaMemcpyAsync	privateuse1_runtime	13	1679.425	129.187	242.729
prefill	musaLaunchKernelExC	privateuse1_runtime	144	1024.825	7.117	13.936
prefill	void musa::dnn::(anonymous namespace)::batch_gemv_row_continuous_kernel<__half, (musa::dnn::AlignAttr)1, 128, 64, 1024, false, true, 128>(__half*, __half const*, __half const*, __half const*, __half const*, int, int, int, int, long, int, long, int, long, int, long, float, float, float)	kernel	1	847.668	847.668	847.668
prefill	_fwd_kernel	kernel	36	760.388	21.122	21.361
prefill	void LayerNormGlobalKernelVlen<__half, float, 1024, 1, 8>(__half*, __half*, __half const*, unsigned long, unsigned long, float)	kernel	72	754.386	10.478	11.360
prefill	musaDeviceSynchronize	privateuse1_runtime	3	722.128	240.709	701.806
prefill	muLaunchKernel	privateuse1_driver	111	607.378	5.472	10.944
prefill	void musa::dnn::(anonymous namespace)::CopyLastContiguousKernel<8, short, true, musa::dnn::DeviceTensor<unsigned int, musa::dnn::FastDivmodU32>, short, 128>(musa::dnn::DeviceTensor<unsigned int, musa::dnn::FastDivmodU32>, musa::dnn::DeviceTensor<unsigned int, musa::dnn::FastDivmodU32>, long, long, long, long, long, long)	kernel	108	596.379	5.522	7.321
